topic,priority,difficulty,weight
Percentages,Very High,Easy-Medium,10
Ratio and Proportion,Very High,Easy-Medium,10
Average,Very High,Easy,10
Profit and Loss,High,Easy-Medium,9
Time and Work,High,Medium,9
Time Speed Distance,High,Medium,9
Probability,Medium,Medium,8
Permutation and Combination,Medium,Medium,7
Simple Interest,Medium,Easy,7
Compound Interest,Medium,Medium,6
Number System,High,Easy-Medium,8
Data Interpretation,Very High,Medium,9
Data Sufficiency,High,Medium,8
Arithmetic Word Problems,High,Medium,8
