topic,priority,difficulty,weight
Probability,Very High,Medium-Hard,10
Data Interpretation,Very High,Medium-Hard,10
Percentages,High,Medium,9
Time and Work,High,Medium,9
Ratio and Proportion,High,Medium,8
Profit and Loss,High,Medium,8
Average,High,Medium,8
Permutation and Combination,High,Hard,8
Number System,Medium,Medium,7
Time Speed Distance,Medium,Medium,7
Arithmetic Word Problems,Medium,Medium,7
Data Sufficiency,Medium,Medium-Hard,7
Mixtures and Alligations,Medium,Medium,6
Algebra,Medium,Medium,6
Statistics,Medium,Medium,6
Simple and Compound Interest,Low,Medium,5
Geometry,Low,Medium,5
HCF and LCM,Low,Easy-Medium,4
Mensuration,Low,Medium,3
