topic,priority,difficulty,weight
Probability,Very High,Medium-Hard,10
Data Interpretation,Very High,Medium-Hard,10
Percentages,High,Medium,9
Time and Work,High,Medium,9
Ratio and Proportion,High,Medium,8
Profit and Loss,High,Medium,8
Average,Medium,Medium,7
Permutation and Combination,High,Hard,9
Number System,Medium,Medium,7
Time Speed Distance,High,Medium,8
Data Sufficiency,Medium,Medium-Hard,7
Arithmetic Word Problems,Medium,Medium,7
Mixtures and Alligations,Medium,Medium,6
Algebra Basics,Medium,Medium,6
Simple and Compound Interest,Medium,Medium,6
HCF and LCM,Medium,Easy-Medium,5
Geometry,Medium,Medium,5
Mensuration,Medium,Medium,5
