topic,priority,difficulty,weight
Arrays,Very High,Easy-Medium,10
Strings,Very High,Easy-Medium,10
Searching,Very High,Easy-Medium,10
Sorting,Very High,Easy-Medium,10
Functions,High,Easy,9
Loops,High,Easy,9
Recursion,Medium,Medium,8
Linked List,Medium,Medium,7
Stack,Medium,Medium,7
Queue,Medium,Medium,7
Trees,Medium,Medium,6
Binary Search,Medium,Medium,7
Hashing,Medium,Medium,6
Object Oriented Programming,High,Medium,8
Basic SQL,High,Easy-Medium,8
DBMS Basics,High,Easy-Medium,8
Pseudocode,Very High,Medium,10
Debugging,High,Medium,8
